employee_id,band,circle,department,gender,tenure_months,months_since_promotion,months_since_hike,months_since_manager_changed,compa_ratio,perf_rating_current,hike_vs_band_median,login_freq_30d,training_completions_90d,leave_days_30d,login_freq_slope_30d,performance_rating_delta,peer_attrition_count_90d,manager_attrition_rate_6m,team_size_change_pct,attrition_flag
JIO10418,4.0,West Bengal,Operations,M,3.0,1.0,23.0,29.0,0.994,2.96,-1.25,4.46,2.0,6.46,-0.659,-0.104,2.0,0.369,-0.309,1.0
JIO10419,6.0,Tamil Nadu,Finance,F,157.0,20.0,6.0,33.0,0.932,4.31,1.61,15.47,2.0,1.01,0.786,0.275,1.0,0.007,0.028,0.0
JIO10420,4.0,West Bengal,Finance,F,2.0,1.0,16.0,5.0,1.042,2.88,1.16,17.24,1.0,3.63,-0.57,-0.035,0.0,0.221,-0.02,0.0
JIO10421,4.0,Karnataka,HR,F,43.0,16.0,20.0,11.0,0.79,2.86,-2.8,7.85,1.0,4.87,-0.776,-0.415,2.0,0.466,-0.037,1.0
JIO10422,4.0,UP East,HR,M,9.0,3.0,7.0,2.0,1.062,4.43,-1.04,17.67,2.0,2.19,0.715,-0.224,0.0,0.225,0.011,0.0
JIO10423,3.0,Mumbai,HR,F,4.0,1.0,17.0,33.0,1.179,3.44,-0.69,12.7,5.0,4.79,0.297,0.354,1.0,0.216,0.006,0.0
JIO10424,5.0,Tamil Nadu,Finance,M,145.0,28.0,7.0,13.0,1.114,4.25,3.14,22.22,2.0,1.19,-0.047,0.215,2.0,0.027,0.064,0.0
JIO10425,3.0,UP East,Operations,F,149.0,20.0,0.0,24.0,0.922,2.99,-0.96,15.39,2.0,3.42,-0.151,-0.169,0.0,0.114,0.151,0.0
JIO10426,3.0,Rajasthan,Sales,M,102.0,39.0,12.0,28.0,0.962,2.71,-3.48,10.12,1.0,2.46,-0.535,-0.074,2.0,0.319,-0.172,1.0
JIO10427,5.0,Maharashtra,Sales,F,155.0,9.0,16.0,14.0,0.75,2.97,3.31,25.0,3.0,0.17,-0.371,-0.335,1.0,0.017,0.037,0.0
JIO10428,4.0,Delhi,Network,F,27.0,25.0,11.0,26.0,0.89,3.19,-2.59,20.61,3.0,1.37,0.053,-0.121,0.0,0.331,0.103,0.0
JIO10429,6.0,Maharashtra,Operations,F,138.0,13.0,14.0,29.0,0.938,2.64,2.24,19.54,3.0,4.55,0.718,-0.083,0.0,0.232,-0.203,0.0
JIO10430,3.0,Rajasthan,Operations,F,44.0,19.0,14.0,25.0,1.134,2.81,0.35,9.75,3.0,3.15,-0.063,-0.187,0.0,0.272,-0.099,0.0
JIO10431,4.0,Delhi,Sales,M,108.0,14.0,23.0,15.0,0.94,2.69,-1.04,12.79,0.0,2.55,-0.009,0.382,3.0,0.384,-0.109,1.0
JIO10432,3.0,West Bengal,Network,M,126.0,1.0,14.0,17.0,1.052,3.22,2.41,18.65,2.0,2.48,0.263,0.777,2.0,0.034,0.039,0.0
JIO10433,4.0,Rajasthan,Technology,F,4.0,0.0,13.0,12.0,0.913,3.34,4.47,17.75,3.0,1.62,-0.15,-0.249,0.0,0.044,0.038,0.0
JIO10434,5.0,Karnataka,Sales,M,87.0,29.0,7.0,17.0,1.021,3.43,-4.67,12.9,4.0,0.11,0.395,0.404,0.0,0.06,0.11,0.0
JIO10435,4.0,Rajasthan,Technology,M,149.0,23.0,17.0,34.0,1.094,3.21,-5.5,22.26,1.0,5.34,0.09,0.17,1.0,0.045,-0.041,0.0
JIO10436,3.0,Maharashtra,Operations,M,49.0,37.0,2.0,12.0,1.077,4.38,-0.94,17.0,2.0,3.18,0.228,0.256,2.0,0.057,0.064,0.0
JIO10437,4.0,Tamil Nadu,Sales,F,162.0,3.0,5.0,24.0,1.182,2.69,4.03,4.91,5.0,2.3,-0.887,-0.259,2.0,0.119,-0.15,1.0
JIO10438,5.0,Rajasthan,Operations,F,57.0,4.0,2.0,28.0,1.039,3.9,1.64,18.07,6.0,0.45,0.198,-0.163,3.0,0.029,0.043,0.0
JIO10439,3.0,Delhi,Network,M,13.0,9.0,5.0,2.0,0.971,3.68,-2.67,21.13,1.0,4.06,-0.447,-0.163,1.0,0.065,0.097,0.0
JIO10440,4.0,Delhi,Network,M,76.0,38.0,21.0,5.0,1.051,4.14,-0.04,22.2,2.0,2.21,0.116,-0.061,0.0,0.067,-0.075,0.0
JIO10441,4.0,Punjab,Network,M,131.0,35.0,12.0,11.0,0.809,3.69,-1.15,12.13,3.0,1.87,-0.523,-0.849,0.0,0.157,-0.164,1.0
JIO10442,4.0,West Bengal,Operations,M,112.0,3.0,1.0,5.0,1.155,4.33,1.35,7.44,1.0,2.62,-0.674,0.278,2.0,0.329,-0.206,1.0
JIO10443,5.0,Rajasthan,Finance,F,147.0,44.0,12.0,14.0,0.821,4.19,-3.74,17.67,4.0,2.2,0.178,-0.884,1.0,0.423,-0.078,0.0
JIO10444,5.0,Punjab,Technology,F,176.0,35.0,1.0,23.0,0.795,4.22,-0.21,19.85,4.0,1.79,-0.753,0.066,3.0,0.347,-0.155,0.0
JIO10445,4.0,Mumbai,Finance,M,169.0,0.0,11.0,7.0,0.997,2.55,0.65,7.57,4.0,4.05,-0.4,0.01,4.0,0.182,-0.317,1.0
JIO10446,5.0,Gujarat,IT,F,158.0,17.0,9.0,32.0,0.905,4.36,-0.31,19.82,1.0,2.44,-0.523,-0.118,1.0,0.129,-0.034,0.0
JIO10447,5.0,Punjab,Finance,F,17.0,3.0,1.0,19.0,0.938,2.41,-2.19,8.25,3.0,1.09,0.227,-0.146,0.0,0.188,0.176,0.0
JIO10448,3.0,Tamil Nadu,HR,M,177.0,1.0,23.0,1.0,1.142,2.78,0.57,25.0,2.0,2.0,0.305,-0.052,1.0,0.432,0.015,0.0
JIO10449,6.0,Delhi,Network,M,64.0,12.0,3.0,33.0,0.87,3.47,-1.28,22.0,0.0,2.83,0.382,0.219,0.0,0.317,-0.071,0.0
JIO10450,5.0,Delhi,HR,M,55.0,18.0,23.0,25.0,1.005,2.66,-0.0,22.51,2.0,2.28,0.397,0.37,0.0,0.108,-0.078,0.0
JIO10451,4.0,Punjab,Sales,M,93.0,17.0,13.0,2.0,0.933,3.13,1.32,12.09,3.0,1.72,-0.065,-0.245,0.0,0.214,-0.097,0.0
JIO10452,6.0,Karnataka,IT,M,59.0,39.0,16.0,33.0,1.125,3.49,-3.25,22.36,2.0,2.16,0.557,-0.034,3.0,0.204,0.062,0.0
JIO10453,4.0,Karnataka,Operations,M,2.0,0.0,13.0,4.0,0.969,1.92,-1.74,18.3,1.0,1.39,0.473,0.653,1.0,0.078,-0.023,0.0
JIO10454,4.0,West Bengal,IT,M,142.0,10.0,16.0,24.0,0.742,3.06,4.21,6.83,2.0,1.05,-0.913,-0.298,3.0,0.279,-0.094,1.0
JIO10455,6.0,Rajasthan,Sales,F,73.0,45.0,14.0,4.0,0.776,3.91,0.98,16.54,1.0,4.59,0.058,-0.382,1.0,0.232,-0.175,1.0
JIO10456,3.0,Maharashtra,Operations,F,171.0,36.0,12.0,1.0,0.924,3.25,-0.63,14.41,1.0,3.13,-0.839,-0.936,2.0,0.466,-0.103,1.0
JIO10457,3.0,Karnataka,IT,M,13.0,2.0,11.0,32.0,1.147,4.08,2.23,14.08,2.0,3.49,0.551,-0.166,0.0,0.41,0.042,0.0
JIO10458,5.0,Gujarat,Operations,F,31.0,10.0,5.0,33.0,1.005,2.34,0.88,12.12,1.0,2.35,0.268,-0.358,0.0,0.242,-0.229,1.0
JIO10459,3.0,Mumbai,Sales,M,31.0,16.0,13.0,6.0,1.019,2.84,1.22,9.76,1.0,2.6,-0.684,-0.442,1.0,0.507,-0.096,1.0
JIO10460,4.0,Mumbai,Operations,M,19.0,9.0,23.0,28.0,0.922,2.62,1.85,13.65,2.0,1.42,-0.874,-0.518,2.0,0.133,-0.038,1.0
JIO10461,3.0,Tamil Nadu,HR,M,14.0,10.0,15.0,7.0,1.043,3.73,3.66,16.07,1.0,5.2,0.218,-0.055,1.0,0.107,0.059,0.0
JIO10462,4.0,Delhi,Finance,M,166.0,20.0,20.0,3.0,1.045,3.96,-1.51,6.3,0.0,4.65,-0.128,-0.023,0.0,0.341,-0.061,1.0
JIO10463,3.0,Punjab,Sales,M,139.0,17.0,13.0,12.0,1.15,4.35,0.41,17.3,2.0,1.38,0.431,0.144,0.0,0.401,0.009,0.0
JIO10464,4.0,Punjab,HR,F,61.0,33.0,22.0,1.0,0.999,2.79,1.36,5.76,2.0,4.73,-0.602,0.001,2.0,0.376,-0.118,1.0
JIO10465,5.0,Punjab,Technology,M,111.0,40.0,9.0,28.0,1.076,4.16,-0.32,16.64,2.0,4.41,0.019,-0.004,1.0,0.056,-0.1,0.0
JIO10466,4.0,West Bengal,Technology,F,123.0,46.0,7.0,10.0,1.142,4.18,0.24,11.7,2.0,3.88,-0.527,-0.344,3.0,0.391,-0.246,1.0
JIO10467,4.0,Delhi,Operations,M,137.0,19.0,7.0,1.0,1.091,3.15,-0.66,21.37,1.0,1.09,0.24,0.572,0.0,0.01,-0.161,0.0
JIO10468,5.0,Maharashtra,Finance,M,176.0,22.0,4.0,8.0,1.024,4.29,-1.21,7.31,2.0,1.78,0.088,0.131,1.0,0.034,-0.095,0.0
JIO10469,3.0,Gujarat,Network,M,78.0,44.0,21.0,8.0,0.771,3.97,2.06,22.56,3.0,0.0,0.315,-0.255,1.0,0.029,0.046,0.0
JIO10470,3.0,Rajasthan,Sales,M,162.0,1.0,18.0,1.0,1.006,3.86,3.54,18.78,4.0,2.15,0.665,0.128,0.0,0.505,0.005,0.0
JIO10471,6.0,Mumbai,Finance,F,20.0,16.0,3.0,3.0,0.938,2.58,-4.65,13.93,3.0,5.55,-0.401,-0.127,4.0,0.404,-0.107,1.0
JIO10472,4.0,Rajasthan,Technology,F,163.0,18.0,2.0,31.0,1.075,3.64,-1.06,22.7,3.0,2.84,0.056,0.068,0.0,0.29,-0.032,0.0
JIO10473,3.0,West Bengal,Technology,M,138.0,11.0,18.0,25.0,0.962,4.21,-0.34,8.69,3.0,4.67,-0.733,-0.534,0.0,0.025,-0.052,1.0
JIO10474,6.0,West Bengal,Operations,M,115.0,14.0,16.0,12.0,1.204,4.52,-0.51,8.28,0.0,2.18,0.158,-0.186,1.0,0.137,-0.012,1.0
JIO10475,3.0,Gujarat,Network,F,137.0,29.0,7.0,3.0,1.167,2.62,-1.21,17.21,3.0,1.32,-0.273,0.13,1.0,0.095,-0.029,0.0
JIO10476,4.0,Delhi,Sales,F,178.0,35.0,15.0,12.0,0.816,3.18,2.05,21.19,0.0,3.3,1.11,0.401,1.0,0.491,-0.047,0.0
JIO10477,4.0,UP East,Sales,M,102.0,6.0,4.0,29.0,0.986,3.87,1.67,14.39,1.0,1.91,0.255,0.189,1.0,0.261,0.018,0.0
JIO10478,3.0,Gujarat,IT,M,89.0,11.0,8.0,4.0,0.998,3.02,1.12,23.48,4.0,2.14,-0.175,0.365,0.0,0.1,-0.02,0.0
JIO10479,4.0,Karnataka,Operations,F,178.0,41.0,21.0,8.0,0.837,3.23,-1.2,17.05,1.0,2.38,0.269,-0.314,0.0,0.269,0.054,0.0
JIO10480,7.0,Gujarat,Sales,F,60.0,33.0,12.0,7.0,0.933,4.11,1.28,15.24,0.0,1.41,0.09,-0.071,1.0,0.082,-0.073,0.0
JIO10481,4.0,Karnataka,Network,M,154.0,47.0,15.0,2.0,0.988,3.74,2.27,17.31,1.0,1.98,0.298,0.042,1.0,0.046,-0.084,0.0
JIO10482,4.0,West Bengal,Sales,M,67.0,10.0,20.0,26.0,1.099,3.08,4.47,15.15,3.0,3.94,-0.519,-0.104,0.0,0.125,0.12,0.0
JIO10483,3.0,Delhi,Finance,F,109.0,47.0,22.0,29.0,0.773,4.82,-1.96,15.13,4.0,4.26,0.193,-0.348,2.0,0.091,-0.004,0.0
JIO10484,4.0,West Bengal,Technology,F,14.0,1.0,3.0,18.0,1.012,2.54,-0.29,13.91,0.0,2.26,-0.737,-0.407,1.0,0.152,-0.344,1.0
JIO10485,5.0,Mumbai,Finance,F,60.0,46.0,11.0,13.0,1.028,2.96,0.92,14.65,2.0,3.13,-0.377,0.48,0.0,0.382,0.065,0.0
JIO10486,5.0,Rajasthan,Finance,F,112.0,12.0,15.0,21.0,0.922,3.36,-0.58,23.01,5.0,2.36,0.319,-0.605,0.0,0.133,-0.103,0.0
JIO10487,3.0,Karnataka,Operations,F,173.0,35.0,0.0,2.0,0.719999999999995,3.8,-1.22,8.65,3.0,4.87,-0.774,-0.137,2.0,0.185,-0.098,1.0
JIO10488,4.0,Tamil Nadu,Operations,F,62.0,43.0,2.0,34.0,0.897,2.37,-3.35,13.17,0.0,4.52,-0.62,-0.727,2.0,0.076,-0.188,1.0
JIO10489,4.0,Punjab,Operations,M,118.0,40.0,12.0,15.0,0.999,3.16,-0.35,25.0,2.0,0.0,0.2,-0.394,1.0,0.109,0.033,0.0
JIO10490,4.0,Maharashtra,Sales,F,83.0,47.0,12.0,2.0,0.922,2.99,-0.06,24.83,9.0,1.22,0.381,0.048,2.0,0.037,-0.034,0.0
JIO10491,4.0,UP East,Technology,F,87.0,0.0,15.0,4.0,0.808,2.95,-1.76,16.53,1.0,1.2,0.039,0.291,1.0,0.108,0.04,0.0
JIO10492,3.0,Punjab,Operations,M,177.0,6.0,3.0,25.0,1.038,4.77,1.79,15.99,1.0,0.98,0.322,-0.41,2.0,0.648000000000003,0.139,0.0
JIO10493,4.0,West Bengal,Network,F,101.0,30.0,16.0,13.0,1.071,3.97,-0.0,14.61,1.0,5.12,0.006,-0.355,0.0,0.185,0.122,0.0
JIO10494,3.0,Delhi,Finance,M,4.0,3.0,2.0,14.0,1.025,2.79,0.15,6.77,2.0,1.71,-0.68,-0.498,1.0,0.048,-0.111,1.0
JIO10495,5.0,Rajasthan,Sales,M,97.0,12.0,11.0,12.0,0.898,4.26,2.12,18.34,1.0,2.51,-0.283,-0.574,0.0,0.309,-0.037,0.0
JIO10496,7.0,Tamil Nadu,IT,F,112.0,32.0,16.0,35.0,0.862,3.13,-1.7,3.96,3.0,4.54,-0.718,-0.7,3.0,0.275,-0.099,1.0
JIO10497,5.0,Rajasthan,Operations,M,126.0,12.0,11.0,18.0,1.049,3.45,0.51,23.33,7.0,1.54,0.721,-0.096,1.0,0.02,0.074,0.0
JIO10498,3.0,UP East,IT,F,67.0,0.0,4.0,6.0,1.161,3.98,2.42,21.33,4.0,3.3,-0.615,0.255,0.0,0.171,-0.009,0.0
JIO10499,3.0,Mumbai,Technology,M,177.0,42.0,18.0,2.0,1.079,4.17,-3.36,20.49,1.0,4.96,0.123,-0.679,2.0,0.192,-0.017,0.0
JIO10500,3.0,Rajasthan,Operations,M,88.0,23.0,12.0,15.0,1.059,2.49,-4.08,7.52,2.0,4.18,-0.929,-0.5,2.0,0.401,-0.076,1.0
JIO10501,4.0,Maharashtra,Network,M,18.0,14.0,11.0,5.0,1.046,2.53,0.27,17.79,2.0,5.1,-0.525,0.248,2.0,0.064,0.064,0.0
JIO10502,4.0,Maharashtra,Operations,M,102.0,30.0,16.0,7.0,0.952,2.72,-0.91,7.11,3.0,2.65,0.079,-0.142,1.0,0.343,-0.035,1.0
JIO10503,4.0,UP East,IT,M,90.0,13.0,0.0,6.0,0.902,3.35,0.86,22.51,1.0,1.16,0.809,0.043,0.0,0.445,0.049,0.0
JIO10504,3.0,Rajasthan,Finance,M,133.0,23.0,12.0,24.0,0.871,3.43,-1.14,15.27,2.0,2.92,-0.405,0.439,2.0,0.107,-0.004,0.0
JIO10505,7.0,Tamil Nadu,IT,M,89.0,25.0,20.0,9.0,1.107,3.48,0.13,22.19,3.0,2.54,0.027,0.393,1.0,0.598,0.083,0.0
JIO10506,5.0,Rajasthan,IT,M,107.0,32.0,20.0,7.0,1.029,2.41,-6.89,23.55,4.0,4.24,0.323,-0.311,0.0,0.01,-0.064,0.0
JIO10507,3.0,Mumbai,Sales,M,162.0,0.0,20.0,14.0,0.924,4.58,-5.23,21.17,0.0,0.9,0.11,0.207,1.0,0.166,-0.109,0.0
JIO10508,3.0,Mumbai,Technology,M,132.0,24.0,6.0,9.0,0.88,3.93,-0.33,9.92,2.0,3.39,-0.649,-0.036,1.0,0.197,-0.11,0.0
JIO10509,4.0,Rajasthan,HR,F,172.0,22.0,9.0,19.0,1.001,2.37,1.37,18.99,3.0,2.55,-0.049,0.24,1.0,0.055,0.092,0.0
JIO10510,5.0,UP East,Sales,M,121.0,5.0,16.0,34.0,0.954,3.86,1.61,19.14,4.0,2.04,0.205,0.592,1.0,0.041,0.039,0.0
JIO10511,4.0,Gujarat,Network,M,135.0,29.0,7.0,3.0,0.862,4.1,-2.23,12.51,4.0,0.83,-0.114,0.16,1.0,0.166,0.027,0.0
JIO10512,5.0,Tamil Nadu,Finance,M,166.0,40.0,1.0,34.0,0.96,2.7,2.78,17.99,3.0,2.83,-0.081,-0.131,3.0,0.276,0.07,0.0
JIO10513,5.0,Maharashtra,Finance,F,38.0,33.0,18.0,11.0,0.78,3.66,-0.68,5.56,4.0,4.89,-0.689,-0.511,2.0,0.018,-0.133,1.0
JIO10514,7.0,Gujarat,Network,M,57.0,29.0,9.0,34.0,0.988,2.89,-0.13,11.95,1.0,2.01,0.189,0.199,0.0,0.142,-0.028,0.0
JIO10515,5.0,Mumbai,HR,F,63.0,10.0,1.0,10.0,0.944,4.42,-0.96,14.22,0.0,5.45,-0.259,0.105,1.0,0.648000000000003,-0.108,1.0
JIO10516,5.0,Delhi,HR,M,133.0,6.0,13.0,27.0,0.907,3.36,-0.49,16.89,4.0,2.73,-0.107,0.091,1.0,0.207,-0.114,0.0
JIO10517,3.0,Gujarat,Sales,F,130.0,44.0,8.0,24.0,1.014,4.47,-1.47,14.89,4.0,3.47,0.406,-0.129,2.0,0.218,0.083,0.0
JIO10518,7.0,Delhi,IT,M,178.0,9.0,17.0,26.0,1.06,2.17,0.7,22.59,3.0,0.25,-0.41,0.079,1.0,0.201,-0.104,0.0
JIO10519,6.0,Punjab,Network,M,39.0,11.0,2.0,10.0,0.853,4.56,-3.24,9.64,1.0,0.81,-0.769,0.31,2.0,0.076,0.053,1.0
JIO10520,7.0,Delhi,Network,F,136.0,23.0,15.0,3.0,1.066,3.52,-0.59,21.11,1.0,2.99,0.937,0.019,1.0,0.246,-0.172,0.0
JIO10521,4.0,UP East,Operations,F,146.0,18.0,21.0,16.0,0.74,2.29,-5.29,7.7,1.0,6.84,-0.666,-0.765,4.0,0.14,-0.175,1.0
JIO10522,5.0,UP East,IT,M,14.0,8.0,19.0,3.0,0.799,2.67,-0.73,16.98,1.0,5.82,-0.206,-0.341,4.0,0.178,-0.175,1.0
JIO10523,5.0,Rajasthan,Finance,M,30.0,21.0,13.0,5.0,0.998,3.87,1.52,21.06,3.0,2.7,0.561,0.209,1.0,0.18,-0.095,0.0
JIO10524,5.0,UP East,HR,M,6.0,5.0,22.0,17.0,0.719999999999995,2.27,-0.09,12.49,2.0,5.92,-0.206,-0.192,1.0,0.273,-0.26,1.0
JIO10525,3.0,Gujarat,Technology,F,37.0,16.0,22.0,20.0,0.934,3.6,-0.97,13.64,0.0,0.35,0.787,0.324,1.0,0.091,-0.092,0.0
JIO10526,4.0,Mumbai,Finance,M,44.0,41.0,11.0,1.0,1.004,3.73,-3.1,13.06,3.0,2.27,0.662,-0.41,2.0,0.104,-0.118,0.0
JIO10527,4.0,Gujarat,Operations,M,24.0,20.0,23.0,2.0,0.942,3.59,1.85,23.6,1.0,0.33,0.211,-0.09,0.0,0.058,0.053,0.0
JIO10528,4.0,Karnataka,Operations,F,61.0,36.0,12.0,9.0,0.756,4.43,-1.34,10.68,1.0,4.07,-0.76,-0.51,4.0,0.072,-0.138,1.0
JIO10529,6.0,Karnataka,Finance,F,103.0,32.0,2.0,31.0,0.941,3.25,0.61,13.17,3.0,3.53,-0.695,-0.733,2.0,0.395,0.071,0.0
JIO10530,3.0,Karnataka,Technology,M,32.0,22.0,16.0,22.0,0.921,4.08,-1.95,20.46,2.0,4.48,0.17,0.457,4.0,0.111,-0.056,0.0
JIO10531,3.0,Rajasthan,IT,M,46.0,45.0,0.0,34.0,0.826,4.1,1.1,11.23,2.0,6.12,-0.1,-0.651,1.0,0.345,-0.164,1.0
JIO10532,4.0,Tamil Nadu,HR,M,34.0,3.0,13.0,5.0,1.034,3.54,1.0,21.46,4.0,1.11,0.589,-0.067,0.0,0.288,0.044,0.0
JIO10533,3.0,Rajasthan,Sales,F,147.0,10.0,11.0,32.0,0.991,3.55,-1.84,16.97,1.0,3.64,-0.149,-0.055,1.0,0.161,0.098,0.0
JIO10534,4.0,UP East,Technology,M,30.0,28.0,20.0,32.0,1.184,3.15,3.95,18.71,3.0,1.75,-0.176,-0.29,2.0,0.268,-0.089,0.0
JIO10535,5.0,Tamil Nadu,Technology,M,113.0,9.0,6.0,29.0,1.006,3.32,-1.97,15.1,0.0,0.0,0.356,0.114,0.0,0.039,0.038,0.0
JIO10536,4.0,Maharashtra,Sales,F,96.0,44.0,21.0,31.0,0.953,3.73,-0.31,5.07,1.0,7.08,-1.296,-0.44,1.0,0.382,-0.153,1.0
JIO10537,7.0,Rajasthan,HR,M,115.0,10.0,0.0,16.0,0.996,4.46,-3.91,20.88,0.0,2.27,0.278,-0.28,1.0,0.079,0.103,0.0
JIO10538,7.0,Mumbai,Sales,F,5.0,0.0,23.0,22.0,0.926,4.06,-0.19,11.56,4.0,3.27,-0.183,0.404,2.0,0.169,-0.003,0.0
JIO10539,3.0,Gujarat,Finance,F,156.0,16.0,4.0,22.0,0.794,2.24,1.45,7.52,3.0,5.69,-1.399,-0.471,3.0,0.319,-0.094,1.0
JIO10540,4.0,Maharashtra,Finance,M,168.0,8.0,5.0,31.0,0.997,3.13,-1.66,21.2,3.0,0.69,0.038,0.235,0.0,0.121,-0.025,0.0
JIO10541,4.0,UP East,IT,M,115.0,7.0,1.0,28.0,1.073,2.97,0.88,20.0,2.0,0.0,0.412,-0.017,1.0,0.056,-0.064,0.0
JIO10542,5.0,UP East,Finance,M,157.0,29.0,11.0,15.0,0.951,4.07,-4.92,16.28,2.0,4.91,-0.306,-0.053,0.0,0.306,-0.147,0.0
JIO10543,3.0,Gujarat,Finance,M,41.0,17.0,11.0,32.0,1.048,3.43,-3.1,24.67,2.0,2.37,0.634,0.037,0.0,0.153,-0.114,0.0
JIO10544,4.0,Delhi,Network,M,38.0,25.0,17.0,18.0,0.916,2.96,1.35,17.65,2.0,3.73,-0.24,0.794,0.0,0.15,-0.144,0.0
JIO10545,4.0,West Bengal,Finance,M,170.0,36.0,19.0,4.0,1.011,3.53,1.32,19.11,4.0,4.22,0.466,0.375,0.0,0.412,-0.091,0.0
JIO10546,4.0,UP East,Finance,F,48.0,39.0,6.0,2.0,0.883,2.56,-4.83,18.74,2.0,1.49,0.334,-0.42,0.0,0.169,0.066,0.0
JIO10547,5.0,Tamil Nadu,HR,M,72.0,17.0,10.0,26.0,1.048,3.16,0.64,12.76,1.0,2.26,0.555,0.037,2.0,0.18,0.048,0.0
JIO10548,4.0,Punjab,Technology,F,44.0,30.0,3.0,14.0,1.052,3.46,-3.21,13.4,3.0,4.86,0.03,0.818,2.0,0.099,-0.034,0.0
JIO10549,6.0,Delhi,Sales,M,51.0,10.0,21.0,8.0,0.95,2.9,-3.88,17.32,0.0,1.79,-0.077,-0.066,1.0,0.194,0.046,0.0
JIO10550,4.0,Mumbai,Network,M,81.0,35.0,20.0,14.0,1.024,3.5,1.98,23.78,1.0,1.81,-0.43,0.299,0.0,0.078,-0.007,0.0
JIO10551,3.0,Punjab,IT,M,122.0,40.0,10.0,30.0,0.847,3.03,-2.03,23.12,4.0,2.97,-0.271,-0.223,0.0,0.136,-0.02,0.0
JIO10552,4.0,Karnataka,HR,M,153.0,43.0,19.0,4.0,1.023,3.4,0.83,16.92,2.0,1.6,0.322,0.222,0.0,0.024,0.026,0.0
JIO10553,4.0,Gujarat,Sales,F,14.0,6.0,5.0,7.0,0.978,4.45,-1.7,16.49,1.0,3.11,-0.832,0.275,0.0,0.141,-0.031,0.0
JIO10554,5.0,Rajasthan,Technology,M,66.0,13.0,3.0,14.0,0.924,3.88,0.67,12.84,2.0,3.75,0.405,-0.37,1.0,0.039,0.076,0.0
JIO10555,4.0,Tamil Nadu,Finance,F,93.0,28.0,11.0,18.0,1.246000000000005,4.13,-3.97,18.11,4.0,4.33,0.185,0.166,0.0,0.285,-0.011,0.0
JIO10556,3.0,Karnataka,IT,M,178.0,39.0,23.0,22.0,0.883,3.41,-3.26,22.54,2.0,1.73,0.256,0.266,0.0,0.092,-0.042,0.0
JIO10557,4.0,Karnataka,Finance,F,81.0,47.0,23.0,31.0,0.982,3.78,-0.27,21.67,6.0,4.24,0.6,0.016,1.0,0.058,0.121,0.0
JIO10558,5.0,UP East,Network,F,98.0,7.0,15.0,2.0,0.871,3.42,-0.05,19.97,3.0,1.55,-0.247,-0.147,1.0,0.338,-0.008,0.0
JIO10559,4.0,Rajasthan,Finance,M,103.0,38.0,5.0,35.0,0.905,3.98,-0.46,12.56,4.0,2.6,0.62,-0.168,0.0,0.047,0.123,0.0
JIO10560,4.0,Maharashtra,IT,M,60.0,25.0,6.0,15.0,0.977,3.7,-0.94,18.04,1.0,3.36,0.077,-0.048,0.0,0.085,-0.05,0.0
JIO10561,3.0,UP East,Network,F,160.0,17.0,6.0,5.0,0.968,2.99,1.08,12.83,4.0,3.45,-1.001,-0.48,2.0,0.166,-0.223,1.0
JIO10562,4.0,Gujarat,Finance,M,96.0,46.0,6.0,26.0,0.96,3.72,2.74,17.74,1.0,4.25,0.92,0.091,1.0,0.033,-0.095,0.0
JIO10563,3.0,Delhi,Operations,F,130.0,13.0,18.0,19.0,1.181,2.52,-4.06,12.99,2.0,2.28,-0.393,-0.741,2.0,0.243,-0.072,1.0
JIO10564,4.0,Maharashtra,Finance,M,167.0,9.0,20.0,14.0,0.979,3.24,0.58,23.13,3.0,3.35,0.301,0.654,1.0,0.134,0.115,0.0
JIO10565,4.0,Rajasthan,Network,M,135.0,42.0,12.0,1.0,0.734,2.93,-0.26,12.2,1.0,3.06,-0.338,-0.622,0.0,0.266,-0.22,1.0
JIO10566,4.0,UP East,Finance,F,89.0,43.0,16.0,1.0,1.06,3.42,4.78,20.29,4.0,2.59,0.437,-0.538,0.0,0.018,-0.066,0.0
JIO10567,5.0,UP East,IT,M,68.0,12.0,2.0,21.0,0.895,3.54,-2.89,17.53,3.0,4.62,-0.244,-0.199,1.0,0.03,-0.009,0.0
JIO10568,3.0,Karnataka,Operations,M,40.0,0.0,19.0,2.0,1.072,2.5,-3.76,13.15,0.0,5.17,-1.152,-0.081,5.0,0.374,-0.157,1.0
JIO10569,4.0,Delhi,Sales,F,147.0,7.0,12.0,20.0,1.126,3.75,-3.01,17.67,1.0,0.0,0.524,0.188,0.0,0.274,0.151,0.0
JIO10570,5.0,Gujarat,Operations,M,121.0,14.0,5.0,8.0,0.901,4.89,-1.61,14.7,0.0,2.35,0.063,-0.133,0.0,0.078,-0.046,0.0
JIO10571,4.0,Mumbai,IT,M,21.0,0.0,12.0,1.0,0.954,4.12,2.6,13.94,1.0,2.85,-0.92,-0.145,1.0,0.196,-0.05,1.0
JIO10572,3.0,Rajasthan,HR,F,13.0,10.0,17.0,2.0,0.921,3.08,1.55,18.13,1.0,0.18,0.392,0.286,1.0,0.346,-0.074,0.0
JIO10573,4.0,Rajasthan,Sales,M,151.0,38.0,16.0,32.0,1.065,3.77,-0.44,9.09,2.0,3.06,-0.063,0.221,0.0,0.163,-0.145,0.0
JIO10574,7.0,Tamil Nadu,Technology,M,72.0,17.0,17.0,10.0,0.725,4.34,-0.19,9.83,1.0,4.48,0.065,-0.474,2.0,0.106,-0.078,1.0
